# ----------------------------------------
# Landing page: Landing page
# Account: Harpar Grace International
# Property: Revitalash GA4 (LIVE)
# ----------------------------------------
# 
# All Users
# Start date: 20240330
# End date: 20250330
Landing page,Session default channel group,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/products/most-coveted-collection-lash,Referral,58,30,4,34.10344827586207,2,264.1,0.034482758620689655
/pages/brow-innovation,Referral,56,43,33,58.785714285714285,0,0,0
/pages/press,Direct,56,51,45,12.125,0,0,0
/products/limited-edition-of-revitabrow-advanced-3-5ml,Paid Shopping,56,53,38,108.23214285714286,4,448.5,0.07142857142857142
/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Referral,56,42,7,23.660714285714285,0,0,0
/products/ultimate-obsession-kit-lash-5971,Referral,56,56,53,40.92857142857143,0,0,0
/products/hi-def-brow-gel,Cross-network,55,50,43,29.78181818181818,2,148,0.03636363636363636
/pages/contact,Paid Search,53,44,17,122.49056603773585,1,185,0.018867924528301886
/pages/impact,Organic Search,53,46,29,128.96226415094338,2,278,0.03773584905660377
/products/brows-icons-collection,Organic Search,53,44,35,30.92452830188679,1,188,0.018867924528301886
/products/revitalash-advanced-sensitive,Paid Social,53,49,42,45.094339622641506,3,272.5,0.05660377358490566
/collections/all-products,Referral,52,45,11,108.42307692307692,8,815.5,0.15384615384615385
/password,Organic Search,52,51,45,4.480769230769231,0,0,0
/collections/gifts,Paid Shopping,51,37,1,42.745098039215684,3,335.75,0.058823529411764705
/products/double-ended-revitalash-advanced-revitabrow-advanced,Paid Search,51,31,0,44.372549019607845,4,556,0.0784313725490196
/products/dssrla,Direct,51,46,42,119.27450980392157,7,542.2,0.13725490196078433
/products/lash-icons-collection-revitalash,Paid Search,51,41,7,56.490196078431374,8,1260,0.1568627450980392
/products/limited-edition-of-revitabrow-advanced-3-5ml,Paid Search,51,29,1,32.13725490196079,3,255.75,0.058823529411764705
/products/signature-travel-kit-lash,Unassigned,51,39,7,48.509803921568626,0,0,0
/blogs/news/conditioners-vs-serums-whats-the-difference,Direct,50,42,32,57.84,1,185,0.02
/blogs/news/conditioners-vs-serums-whats-the-difference,Organic Search,50,38,25,66.14,1,188,0.02
/collections/lash,Unassigned,50,42,6,85.64,5,438.129333,0.1
/pages/blog,Direct,49,42,37,5.775510204081633,0,0,0
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Organic Social,49,47,37,23.918367346938776,2,206.563227,0.04081632653061224
/products/samples-pack-free-gift-with-purchase,Direct,49,39,19,69.0204081632653,7,1110.7,0.14285714285714285
/products/wow-brow-limited-edition-of-revitabrow-advanced-3-5ml,Organic Search,49,41,12,40.755102040816325,2,271.8,0.04081632653061224
/collections/makeup,Paid Search,48,32,1,37.604166666666664,3,475.1,0.0625
/pages/brow-innovation,Paid Search,48,34,15,28.333333333333332,2,158.1,0.041666666666666664
/pages/contact-form-for-resellers,Direct,48,47,45,7.375,0,0,0
/77879836963/orders/251f86640d62c8243a45de2f119ef6ed,Direct,47,1,0,0,0,0,0
/blogs/how-to-guide/why-brown-eyeliner-belongs-in-your-makeup-bag,Organic Search,47,46,43,25.170212765957448,0,0,0
/blogs/news/postpartum-hair-loss-why-it-happens-what-to-do,Organic Search,47,45,45,37.53191489361702,0,0,0
/collections/best-selling-serums/products/revitalash®-advanced-eyelash-conditioner-serum,Direct,47,31,22,13.957446808510639,0,0,0
/pages/locator,Direct,47,25,18,40.638297872340424,0,0,0
/products/all-eyes-on-you-set,Direct,47,47,44,64.57446808510639,1,238,0.02127659574468085
/products/revitabrow®-advanced-eyebrow-conditioner-serum,Direct,47,44,43,38,3,369.1,0.06382978723404255
/77879836963/orders/210041e837bbe28d4c7574fe85f0d936,Direct,46,4,4,0,0,0,0
/collections/all,Email,46,27,11,49.73913043478261,3,352,0.06521739130434782
/collections/hair-collection,Organic Search,46,35,27,90.19565217391305,2,238.1,0.043478260869565216
/pages/shipping-and-returns,Organic Search,46,31,16,33.108695652173914,2,362.64113,0.043478260869565216
/pages/terms-of-use,Direct,46,42,41,22.67391304347826,0,0,0
/password,Direct,46,43,41,3.782608695652174,0,0,0
/shop,Direct,46,38,38,71.06521739130434,2,207.1,0.043478260869565216
/collections/all-products/products/thickening-shampoo,Direct,45,40,35,42,4,291,0.08888888888888889
/pages/faq,Paid Search,45,35,18,55.15555555555556,0,0,0
/products/brow-refresh-collection-spring-2025,Paid Shopping,45,38,30,57.4,3,292.1,0.06666666666666667
/products/lash-brow-set,Unassigned,45,34,24,23.866666666666667,2,235.5,0.044444444444444446
/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Organic Social,45,44,44,9.022222222222222,0,0,0
/products/volume-enhancing-foam,Paid Search,45,36,4,30.822222222222223,2,184,0.044444444444444446
/pages/confirmation,Organic Search,44,23,0,25,0,0,0
/products/revitabrow®-advanced-eyebrow-conditioner,Cross-network,44,41,37,78.70454545454545,1,59,0.022727272727272728
(not set),Organic Shopping,43,37,0,9.395348837209303,0,0,0
/collections/all-products/products/revitalash®️-advanced-eyelash-conditioner-serum,Direct,43,37,38,46.627906976744185,5,564.5,0.11627906976744186
/collections/best-selling-serums,Organic Search,43,35,19,60.604651162790695,1,153.332836,0.023255813953488372
/pages/curl-effect,Referral,43,27,9,21.511627906976745,1,175,0.023255813953488372
/pages/press,Organic Search,43,39,31,54.13953488372093,0,0,0
/products/micellar-water-lash-wash-conditioning-eye-makeup-remover,Direct,43,36,32,54.13953488372093,1,33,0.023255813953488372
/blogs/how-to-guide/why-brown-eyeliner-belongs-in-your-makeup-bag,Direct,42,41,39,83.92857142857143,0,0,0
/blogs/news/overplucked-brows-here-s-what-to-do,Organic Search,42,37,22,73.45238095238095,0,0,0
/collections/gifts,Cross-network,42,32,22,49.904761904761905,3,314.2,0.07142857142857142
/products/brow-set,Organic Search,42,42,29,34.69047619047619,2,259.101224,0.047619047619047616
/products/revitalash-advanced-sensitive,Email,42,32,14,76.54761904761905,6,506.4,0.14285714285714285
/search,Paid Search,42,39,0,5.833333333333333,0,0,0
(not set),Organic Social,41,37,0,10.878048780487806,0,0,0
/account/login,Paid Search,41,24,0,35.1219512195122,2,192.1,0.04878048780487805
/products/signature-travel-kit-lash,Organic Social,41,41,41,10.634146341463415,0,0,0
/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Organic Social,41,41,41,7.853658536585366,0,0,0
/account/login,Referral,40,26,9,61.125,0,0,0
/collections/all-products/products/revitalash-advanced-sensitive,Paid Search,40,26,1,20.525,2,155.4,0.05
/collections/all-products/products/thickening-shampoo,Organic Search,40,35,31,13.25,0,0,0
/products/thickening-conditioner,Cross-network,40,39,36,22.975,1,37,0.025
/search,Referral,40,35,8,54.65,1,53.1,0.025
/account,Organic Search,39,18,3,11.974358974358974,2,263.010353,0.05128205128205128
/collections/all-products/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Organic Search,39,30,5,73.35897435897436,4,516.1,0.10256410256410256
/collections/brow,Referral,39,26,5,10,3,297.6,0.07692307692307693
/blogs/news/the-real-reason-your-hair-is-damaged-what-to-do-about-it,Organic Search,38,33,28,55.078947368421055,2,117.5,0.05263157894736842
/blogs/news/the-real-reason-your-hair-is-damaged-what-to-do-about-it,Unassigned,38,32,27,128.94736842105263,4,317,0.10526315789473684
/pages/counterfeit-product,Direct,38,34,33,11.921052631578947,0,0,0
/products/double-ended-revitalash-advanced-revitabrow-advanced,Organic Social,38,31,22,16.026315789473685,0,0,0
/products/limited-edition-revitabrow-advanced-eyebrow-conditioner-eternally-pink,Paid Search,38,38,38,0,0,0,0
/search,Organic Search,38,31,0,25.236842105263158,2,255.1,0.05263157894736842
/77879836963/orders/22a9ef52ae0e107707ad9c9d7eb2f726,Direct,37,1,1,0,0,0,0
/account,Paid Search,37,25,0,37.567567567567565,2,144.95,0.05405405405405406
/collections/all-products/products/lash-brow-set,Paid Search,37,23,0,87.83783783783784,5,925,0.13513513513513514
/collections/all-products/products/revitabrow-advanced-eyebrow-conditioner,Direct,37,32,32,1.8108108108108107,0,0,0
